Rubber	(Action,Adventure,Comedy,Crime,Drama,Film-Noir,Horror,Mystery,Thriller,Western)
Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie)	(Action,Animation,Crime,Drama,Film-Noir,Mystery,Sci-Fi,Thriller)
Enchanted	(Adventure,Animation,Children,Comedy,Fantasy,Musical,Romance)
Who Framed Roger Rabbit?	(Adventure,Animation,Children,Comedy,Crime,Fantasy,Mystery)
Mulan	(Adventure,Animation,Children,Comedy,Drama,Musical,Romance)
Aqua Teen Hunger Force Colon Movie Film for Theaters	(Action,Adventure,Animation,Comedy,Fantasy,Mystery,Sci-Fi)
Robots	(Adventure,Animation,Children,Comedy,Fantasy,Sci-Fi,IMAX)
Interstate 60	(Adventure,Comedy,Drama,Fantasy,Mystery,Sci-Fi,Thriller)
Aelita: The Queen of Mars (Aelita)	(Action,Adventure,Drama,Fantasy,Romance,Sci-Fi,Thriller)
Tangled	(Animation,Children,Comedy,Fantasy,Musical,Romance,IMAX)
Mars Needs Moms	(Action,Adventure,Animation,Children,Comedy,Sci-Fi,IMAX)
Osmosis Jones	(Action,Animation,Comedy,Crime,Drama,Romance,Thriller)
Return of Jafar, The	(Adventure,Animation,Children,Fantasy,Musical,Romance)
All Dogs Go to Heaven 2	(Adventure,Animation,Children,Fantasy,Musical,Romance)
Shrek 2	(Adventure,Animation,Children,Comedy,Musical,Romance)
Shrek	(Adventure,Animation,Children,Comedy,Fantasy,Romance)
Gnomeo & Juliet	(Adventure,Animation,Children,Comedy,Fantasy,Romance)
Puss in Boots (Nagagutsu o haita neko)	(Adventure,Animation,Children,Comedy,Fantasy,Romance)
Pulse	(Action,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller)
Ice Age: Dawn of the Dinosaurs	(Action,Adventure,Animation,Children,Comedy,Romance)
Space Jam	(Adventure,Animation,Children,Comedy,Fantasy,Sci-Fi)
Twelve Tasks of Asterix, The (Les douze travaux d'Astérix)	(Action,Adventure,Animation,Children,Comedy,Fantasy)
TMNT (Teenage Mutant Ninja Turtles)	(Action,Adventure,Animation,Children,Comedy,Fantasy)
Frozen	(Adventure,Animation,Comedy,Fantasy,Musical,Romance)
Young Sherlock Holmes	(Action,Adventure,Children,Fantasy,Mystery,Thriller)
Rango	(Action,Adventure,Animation,Children,Comedy,Western)
G.I. Joe: The Movie	(Action,Adventure,Animation,Children,Fantasy,Sci-Fi)
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta)	(Action,Adventure,Animation,Children,Fantasy,Sci-Fi)
The Lego Movie	(Action,Adventure,Animation,Children,Comedy,Fantasy)
Home	(Adventure,Animation,Children,Comedy,Fantasy,Sci-Fi)
Batman/Superman Movie, The	(Action,Adventure,Animation,Children,Fantasy,Sci-Fi)
Chicken Little	(Action,Adventure,Animation,Children,Comedy,Sci-Fi)
Inside Out	(Adventure,Animation,Children,Comedy,Drama,Fantasy)
