Forrest Gump	155	121	42	9	2	329
Shawshank Redemption, The	202	87	24	2	2	317
Pulp Fiction	167	89	34	9	8	307
Silence of the Lambs, The	128	111	31	5	4	279
Matrix, The	150	90	24	5	9	278
Star Wars: Episode IV - A New Hope	128	92	19	10	2	251
Jurassic Park	48	120	53	15	2	238
Braveheart	101	87	36	8	5	237
Terminator 2: Judgment Day	83	90	43	3	5	224
Schindler's List	128	60	20	5	7	220
Fight Club	130	66	13	6	3	218
Toy Story	65	100	42	7	1	215
Star Wars: Episode V - The Empire Strikes Back	108	72	24	6	1	211
Usual Suspects, The	113	61	25	3	2	204
American Beauty	86	89	17	4	8	204
Seven (a.k.a. Se7en)	81	76	34	8	4	203
Independence Day (a.k.a. ID4)	36	80	60	19	7	202
Apollo 13	57	85	46	12	1	201
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)	89	94	12	2	3	200
Lord of the Rings: The Fellowship of the Ring, The	100	68	17	10	3	198
Star Wars: Episode VI - Return of the Jedi	92	73	21	8	2	196
Godfather, The	114	51	17	9	1	192
Fugitive, The	58	93	35	3	1	190
Batman	25	58	95	10	1	189
Saving Private Ryan	85	76	22	4	1	188
Lord of the Rings: The Two Towers, The	80	76	20	10	2	188
Lord of the Rings: The Return of the King, The	87	73	16	7	2	185
Aladdin	46	81	44	10	2	183
Fargo	81	66	26	8	0	181
Sixth Sense, The	64	76	26	9	4	179
True Lies	31	60	68	17	2	178
Twelve Monkeys (a.k.a. 12 Monkeys)	57	83	33	3	1	177
Lion King, The	58	72	36	5	1	172
Speed	29	70	56	13	3	171
Back to the Future	68	75	19	7	2	171
Gladiator	66	72	18	9	5	170
Shrek	56	79	23	8	4	170
Men in Black (a.k.a. MIB)	22	84	39	17	3	165
Dances with Wolves	43	74	37	9	1	164
Mission: Impossible	25	67	58	7	5	162
Ace Ventura: Pet Detective	17	46	54	32	12	161
Memento	83	57	10	5	4	159
Mask, The	14	52	65	15	11	157
Dark Knight, The	79	58	9	3	0	149
Pirates of the Caribbean: The Curse of the Black Pearl	40	72	31	4	2	149
Alien	54	64	16	10	2	146
Beauty and the Beast	38	53	50	5	0	146
Die Hard	43	64	29	6	3	145
Die Hard: With a Vengeance	29	48	53	12	2	144
Mrs. Doubtfire	17	58	54	11	4	144
Groundhog Day	49	62	27	3	2	143
Inception	69	52	13	6	3	143
Princess Bride, The	75	48	16	3	0	142
Good Will Hunting	61	55	22	2	1	141
Finding Nemo	49	72	16	2	2	141
Indiana Jones and the Last Crusade	50	71	15	2	2	140
Titanic	21	64	33	16	6	140
Star Wars: Episode I - The Phantom Menace	15	52	36	26	11	140
Stargate	15	53	55	15	2	140
Batman Forever	7	24	74	23	9	137
Monty Python and the Holy Grail	68	49	13	4	2	136
Pretty Woman	17	58	51	6	3	135
One Flew Over the Cuckoo's Nest	64	52	15	1	1	133
Dumb & Dumber (Dumb and Dumber)	18	33	51	18	13	133
X-Men	26	74	25	5	3	133
Léon: The Professional (a.k.a. The Professional) (Léon)	54	51	24	1	3	133
Monsters, Inc.	35	74	18	4	1	132
GoldenEye	20	55	45	9	3	132
Eternal Sunshine of the Spotless Mind	62	57	9	2	1	131
Kill Bill: Vol. 1	54	56	16	3	2	131
Terminator, The	33	76	17	2	3	131
Reservoir Dogs	61	54	13	2	1	131
Godfather: Part II, The	68	46	12	1	2	129
American History X	63	53	13	0	0	129
Babe	30	53	30	11	4	128
Aliens	54	44	18	7	3	126
Goodfellas	61	56	7	2	0	126
Incredibles, The	32	73	15	3	2	125
Truman Show, The	37	62	21	3	2	125
Blade Runner	58	46	13	5	2	124
Twister	19	37	47	14	6	123
Beautiful Mind, A	43	62	16	0	2	123
Spider-Man	20	65	26	6	5	122
E.T. the Extra-Terrestrial	39	48	21	10	4	122
Austin Powers: The Spy Who Shagged Me	19	42	37	10	13	121
Rock, The	21	56	35	5	4	121
Clockwork Orange, A	50	47	15	4	4	120
Minority Report	22	71	15	8	4	120
Ghostbusters (a.k.a. Ghost Busters)	30	57	24	9	0	120
Amelie (Fabuleux destin d'Amélie Poulain, Le)	59	46	10	3	2	120
Willy Wonka & the Chocolate Factory	36	52	26	2	3	119
Ocean's Eleven	32	67	16	1	3	119
Batman Begins	38	55	17	5	1	116
Fifth Element, The	33	50	25	6	2	116
Home Alone	9	29	50	19	9	116
Waterworld	2	36	47	20	10	115
Ghost	18	39	44	12	2	115
Catch Me If You Can	36	63	10	6	0	115
Breakfast Club, The	28	55	21	9	0	113
Net, The	9	28	51	14	10	112
Bourne Identity, The	32	60	11	7	2	112
Green Mile, The	46	55	9	0	1	111
Crouching Tiger, Hidden Dragon (Wo hu cang long)	42	43	17	3	5	110
Kill Bill: Vol. 2	37	51	15	4	3	110
Jumanji	14	47	40	7	2	110
Clear and Present Danger	14	49	40	7	0	110
Donnie Darko	46	47	9	4	3	109
Interview with the Vampire: The Vampire Chronicles	19	42	36	5	7	109
Shining, The	41	54	11	3	0	109
2001: A Space Odyssey	41	43	11	10	4	109
Ferris Bueller's Day Off	32	54	17	5	1	109
Star Trek: Generations	11	38	49	8	2	108
Indiana Jones and the Temple of Doom	20	55	23	9	1	108
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone)	29	49	24	5	0	107
Departed, The	61	37	8	0	1	107
Apocalypse Now	54	37	13	3	0	107
Sleepless in Seattle	14	41	42	7	2	106
Big Lebowski, The	46	39	13	2	6	106
There's Something About Mary	22	49	28	4	2	105
Up	39	49	15	1	1	105
Taxi Driver	47	36	17	4	0	104
Clueless	14	33	42	7	8	104
WALL·E	45	47	7	4	1	104
Clerks	31	49	18	3	3	104
American Pie	17	44	25	13	4	103
Four Weddings and a Funeral	18	47	25	5	8	103
Crimson Tide	17	48	30	6	2	103
Heat	32	44	23	2	1	102
Trainspotting	41	47	10	3	1	102
Harry Potter and the Chamber of Secrets	25	40	30	5	2	102
Full Metal Jacket	43	42	14	2	1	102
Outbreak	12	37	45	2	5	101
Firm, The	13	41	42	3	2	101
Cliffhanger	6	19	59	11	6	101
V for Vendetta	29	57	11	1	2	100
Casablanca	54	33	10	1	2	100
Austin Powers: International Man of Mystery	15	52	23	8	2	100
Cast Away	23	51	22	4	0	100
Being John Malkovich	34	46	14	3	2	99
Happy Gilmore	17	39	30	10	3	99
While You Were Sleeping	13	37	40	6	2	98
L.A. Confidential	38	45	10	3	1	97
Avatar	27	35	24	7	4	97
Who Framed Roger Rabbit?	15	47	27	5	3	97
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	56	28	10	2	1	97
Toy Story 2	33	36	24	4	0	97
Matrix Reloaded, The	15	40	28	9	4	96
Rain Man	23	51	16	6	0	96
As Good as It Gets	19	52	19	3	3	96
Requiem for a Dream	40	36	13	2	5	96
O Brother, Where Art Thou?	27	44	16	5	2	94
Office Space	44	34	12	4	0	94
Iron Man	31	42	16	4	1	94
Snatch	47	33	11	1	1	93
Nightmare Before Christmas, The	15	47	21	5	5	93
Harry Potter and the Prisoner of Azkaban	31	43	17	2	0	93
Shrek 2	17	48	18	6	3	92
Shakespeare in Love	24	46	11	8	3	92
Wizard of Oz, The	34	34	16	5	3	92
Bug's Life, A	12	45	29	3	3	92
Natural Born Killers	14	26	32	12	8	92
Star Wars: Episode II - Attack of the Clones	10	37	27	8	10	92
Armageddon	11	24	37	12	8	92
Beetlejuice	15	41	25	7	3	91
Meet the Parents	14	40	25	10	2	91
Big	17	49	19	4	2	91
Jaws	35	36	15	4	1	91
Star Trek: First Contact	30	38	17	3	3	91
Stand by Me	27	49	13	2	0	91
Hunt for Red October, The	26	42	20	0	2	90
Prestige, The	38	41	8	3	0	90
Monty Python's Life of Brian	39	33	7	6	4	89
Get Shorty	9	40	32	6	2	89
Back to the Future Part III	13	32	33	8	2	88
Inglourious Basterds	41	40	5	0	2	88
Total Recall	16	40	27	5	0	88
Life Is Beautiful (La Vita è bella)	49	24	8	4	3	88
Ace Ventura: When Nature Calls	5	24	21	28	10	88
Back to the Future Part II	19	34	23	6	5	87
Airplane!	26	41	14	3	3	87
Mummy, The	11	32	24	12	8	87
Spirited Away (Sen to Chihiro no kamikakushi)	42	34	9	1	1	87
Mars Attacks!	11	27	25	15	8	86
Gattaca	29	39	14	4	0	86
Dead Poets Society	36	32	12	4	2	86
Birdcage, The	8	40	32	3	3	86
