fiveStarMovies::movieID	fiveStarMovies::avgRating	oldestFiveStars::movieID	oldestFiveStars::title	oldestFiveStars::year	oldestFiveStars::genre
8511	4.5	8511	Immigrant, The	1917	(Comedy)
3310	4.1	3310	Kid, The	1921	(Comedy,Drama)
71999	4.5	71999	Aelita: The Queen of Mars (Aelita)	1924	(Action,Adventure,Drama,Fantasy,Romance,Sci-Fi,Thriller)
3629	4.071428571428571	3629	Gold Rush, The	1925	(Adventure,Comedy,Romance)
44931	4.5	44931	Secrets of a Soul (Geheimnisse einer Seele)	1926	(Drama)
25769	4.5	25769	Steamboat Bill, Jr.	1928	(Comedy,Romance)
3306	4.125	3306	Circus, The	1928	(Comedy)
25771	4.5	25771	Andalusian Dog, An (Chien andalou, Un)	1929	(Fantasy)
7706	4.125	7706	Animal Crackers	1930	(Comedy,Musical)
1927	4.35	1927	All Quiet on the Western Front	1930	(Action,Drama,War)
7056	4.25	7056	Public Enemy, The	1931	(Action,Crime,Drama)
84512	5.0	84512	Girls About Town	1931	(Comedy)
48649	4.5	48649	Chapayev	1934	(Drama,War)
4278	4.166666666666667	4278	Triumph of the Will (Triumph des Willens)	1934	(Documentary)
25805	4.5	25805	Atalante, L'	1934	(Comedy,Drama,Romance)
905	4.321428571428571	905	It Happened One Night	1934	(Comedy,Romance)
3086	5.0	3086	Babes in Toyland	1934	(Children,Comedy,Fantasy,Musical)
67888	4.5	67888	Man on the Flying Trapeze	1935	(Comedy)
1931	4.166666666666667	1931	Mutiny on the Bounty	1935	(Adventure,Drama)
965	4.045454545454546	965	39 Steps, The	1935	(Drama,Mystery,Thriller)
945	4.071428571428571	945	Top Hat	1935	(Comedy,Musical,Romance)
7132	4.111111111111111	7132	Night at the Opera, A	1935	(Comedy,Musical,Romance)
6254	4.75	6254	Awful Truth, The	1937	(Comedy,Romance)
1066	4.5	1066	Shall We Dance	1937	(Comedy,Musical,Romance)
6515	4.5	6515	You Only Live Once	1937	(Crime,Film-Noir)
25841	4.166666666666667	25841	Stage Door	1937	(Drama)
954	4.083333333333333	954	Mr. Smith Goes to Washington	1939	(Drama)
951	4.392857142857143	951	His Girl Friday	1940	(Comedy,Romance)
928	4.166666666666667	928	Rebecca	1940	(Drama,Mystery,Romance,Thriller)
898	4.310344827586207	898	Philadelphia Story, The	1940	(Comedy,Drama,Romance)
3095	4.111111111111111	3095	Grapes of Wrath, The	1940	(Drama)
47736	5.0	47736	Chump at Oxford, A	1940	(Comedy)
83969	5.0	83969	Down Argentine Way	1940	(Comedy,Drama,Romance)
1281	4.133333333333334	1281	Great Dictator, The	1940	(Comedy,Drama,War)
913	4.170454545454546	913	Maltese Falcon, The	1941	(Film-Noir,Mystery)
7216	4.166666666666667	7216	High Sierra	1941	(Crime,Drama,Film-Noir,Thriller)
923	4.043478260869565	923	Citizen Kane	1941	(Drama,Mystery)
912	4.24	912	Casablanca	1942	(Drama,Romance)
25887	5.0	25887	Tales of Manhattan	1942	(Comedy,Drama)
2937	4.1	2937	Palm Beach Story, The	1942	(Comedy)
2203	4.142857142857143	2203	Shadow of a Doubt	1943	(Crime,Drama,Thriller)
7333	4.25	7333	Corbeau, Le (Raven, The)	1943	(Crime,Drama,Thriller)
7218	4.5	7218	Ox-Bow Incident, The	1943	(Drama,Western)
942	4.333333333333333	942	Laura	1944	(Crime,Film-Noir,Mystery)
25906	5.0	25906	Mr. Skeffington	1944	(Drama,Romance)
6983	5.0	6983	Jane Eyre	1944	(Drama,Romance)
3435	4.323529411764706	3435	Double Indemnity	1944	(Crime,Drama,Film-Noir)
918	4.1	918	Meet Me in St. Louis	1944	(Musical)
2202	4.357142857142857	2202	Lifeboat	1944	(Drama,War)
906	4.142857142857143	906	Gaslight	1944	(Drama,Thriller)
1337	4.5	1337	Body Snatcher, The	1945	(Drama,Horror,Thriller)
930	4.25	930	Notorious	1946	(Film-Noir,Romance,Thriller)
3792	5.0	3792	Duel in the Sun	1946	(Drama,Romance,Western)
1284	4.142857142857143	1284	Big Sleep, The	1946	(Crime,Film-Noir,Mystery)
1939	4.0625	1939	Best Years of Our Lives, The	1946	(Drama,War)
953	4.0344827586206895	953	It's a Wonderful Life	1946	(Children,Drama,Fantasy,Romance)
2398	4.0588235294117645	2398	Miracle on 34th Street	1947	(Comedy,Drama)
2066	4.125	2066	Out of the Past	1947	(Film-Noir)
84246	4.5	84246	It Happened on Fifth Avenue	1947	(Comedy,Romance)
3334	4.2	3334	Key Largo	1948	(Crime,Drama,Film-Noir,Thriller)
3089	4.125	3089	Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette)	1948	(Drama)
25947	5.0	25947	Unfaithfully Yours	1948	(Comedy)
7121	4.75	7121	Adam's Rib	1949	(Comedy,Romance)
1942	4.25	1942	All the King's Men	1949	(Drama)
7212	4.25	7212	I Was a Male War Bride	1949	(Comedy,Romance)
4338	4.5	4338	Twelve O'Clock High	1949	(Drama,War)
1212	4.229166666666667	1212	Third Man, The	1949	(Film-Noir,Mystery,Thriller)
3341	4.285714285714286	3341	Born Yesterday	1950	(Comedy)
922	4.333333333333333	922	Sunset Blvd. (a.k.a. Sunset Boulevard)	1950	(Drama,Film-Noir,Romance)
926	4.229166666666667	926	All About Eve	1950	(Drama)
1104	4.475	1104	Streetcar Named Desire, A	1951	(Drama)
4813	5.0	4813	When Worlds Collide	1951	(Sci-Fi)
3475	4.5	3475	Place in the Sun, A	1951	(Drama,Romance)
3315	4.5	3315	Happy Go Lovely	1951	(Musical)
5603	4.5	5603	Lavender Hill Mob, The	1951	(Comedy,Crime)
5470	4.333333333333333	5470	The Importance of Being Earnest	1952	(Comedy,Romance)
1283	4.2105263157894735	1283	High Noon	1952	(Drama,Western)
6611	5.0	6611	Umberto D.	1952	(Drama)
899	4.074468085106383	899	Singin' in the Rain	1952	(Comedy,Musical,Romance)
4357	4.5	4357	How to Marry a Millionaire	1953	(Comedy,Drama,Romance)
916	4.0576923076923075	916	Roman Holiday	1953	(Comedy,Drama,Romance)
1086	4.1	1086	Dial M for Murder	1954	(Crime,Mystery,Thriller)
